name,tokens_in,tokens_out,sample_idx,bytes-tokens-050,tokens-tokens-050,chosen_idx,order_switched
Ensemble Everything Everywhere,100,20,0,true,false,1,1
Ensemble Everything Everywhere,100,100,0,false,true,1,0
Ensemble Everything Everywhere,100,500,0,false,true,1,0
Ensemble Everything Everywhere,100,20,1,false,true,0,1
Ensemble Everything Everywhere,100,100,1,false,true,0,1
Ensemble Everything Everywhere,100,500,1,false,true,1,0
Ensemble Everything Everywhere,100,20,2,true,false,0,0
Ensemble Everything Everywhere,100,100,2,true,false,0,0
Ensemble Everything Everywhere,100,500,2,true,false,0,0
Ensemble Everything Everywhere,100,20,3,false,true,0,1
Ensemble Everything Everywhere,100,100,3,true,false,0,0
Ensemble Everything Everywhere,100,500,3,true,false,1,1
Ensemble Everything Everywhere,100,20,4,true,false,0,0
Ensemble Everything Everywhere,100,100,4,true,false,1,1
Ensemble Everything Everywhere,100,500,4,true,false,0,0
Ensemble Everything Everywhere,100,20,5,true,false,0,0
Ensemble Everything Everywhere,100,100,5,true,false,0,0
Ensemble Everything Everywhere,100,500,5,false,true,1,0
Ensemble Everything Everywhere,100,20,6,true,false,0,0
Ensemble Everything Everywhere,100,100,6,true,false,1,1
Ensemble Everything Everywhere,100,500,6,true,false,1,1
Ensemble Everything Everywhere,100,20,7,false,true,0,1
Ensemble Everything Everywhere,100,100,7,true,false,0,0
Ensemble Everything Everywhere,100,500,7,false,true,1,0
Ensemble Everything Everywhere,100,20,8,true,false,0,0
Ensemble Everything Everywhere,100,100,8,false,true,0,1
Ensemble Everything Everywhere,100,500,8,false,true,0,1
Ensemble Everything Everywhere,100,20,9,false,true,0,1
Ensemble Everything Everywhere,100,100,9,true,false,1,1
Ensemble Everything Everywhere,100,500,9,true,false,1,1
Ensemble Everything Everywhere,20,20,0,true,false,1,1
Ensemble Everything Everywhere,20,100,0,true,false,1,1
Ensemble Everything Everywhere,20,500,0,false,true,1,0
Ensemble Everything Everywhere,20,20,1,false,true,1,0
Ensemble Everything Everywhere,20,100,1,false,true,0,1
Ensemble Everything Everywhere,20,500,1,false,true,1,0
Ensemble Everything Everywhere,20,20,2,true,false,1,1
Ensemble Everything Everywhere,20,100,2,false,true,1,0
Ensemble Everything Everywhere,20,500,2,false,true,1,0
Ensemble Everything Everywhere,20,20,3,false,true,0,1
Ensemble Everything Everywhere,20,100,3,false,true,0,1
Ensemble Everything Everywhere,20,500,3,true,false,1,1
Ensemble Everything Everywhere,20,20,4,true,false,0,0
Ensemble Everything Everywhere,20,100,4,true,false,0,0
Ensemble Everything Everywhere,20,500,4,false,true,1,0
Ensemble Everything Everywhere,20,20,5,true,false,1,1
Ensemble Everything Everywhere,20,100,5,true,false,1,1
Ensemble Everything Everywhere,20,500,5,false,true,1,0
Ensemble Everything Everywhere,20,20,6,false,true,0,1
Ensemble Everything Everywhere,20,100,6,false,true,1,0
Ensemble Everything Everywhere,20,500,6,false,true,1,0
Ensemble Everything Everywhere,20,20,7,false,true,1,0
Ensemble Everything Everywhere,20,100,7,false,true,0,1
Ensemble Everything Everywhere,20,500,7,true,false,1,1
Ensemble Everything Everywhere,20,20,8,false,true,1,0
Ensemble Everything Everywhere,20,100,8,false,true,0,1
Ensemble Everything Everywhere,20,500,8,true,false,1,1
Ensemble Everything Everywhere,20,20,9,true,false,1,1
